EYFP	mKate
12.75	14.58
721.650024	559.710022
129.199997	124.739998
30.6	26.73
7.65	18.629999
27.200001	20.25
2639.25	3124.97998
11.05	13.77
207.400009	86.669998
3197.700195	6889.859863
435.200012	227.610001
11.900001	0.81
5440	5291.72998
14.450001	8.1
5190.100098	7444.709961
16034.40039	13117.13965
3130.550049	7992.27002
687.650024	2734.560059
45.050003	28.35
67.150002	17.82
6732.850098	11348.91016
319.600006	644.76001
6612.150391	9146.520508
4555.149902	4954.77002
913.75	797.849976
922.25	1345.410034
11.900001	0.81
47.600002	19.440001
50.150002	29.969999
17	4.86
3071.900146	4149.629883
1509.600098	2518.290039
17.85	10.53
28.050001	6.48
80.75	45.360001
551.650024	917.72998
17	15.39
1352.350098	1379.430054
22.950001	1.62
0.85	24.299999
43.350002	44.549999
1824.100098	1918.079956
22.1	29.16
45.900002	39.689999
22.1	25.92
6.8	8.91
32018.65039	36996.75
2509.199951	2915.189941
29818.85156	45019.80078
269.450012	163.619995
4762.550293	10743.03027
45.050003	2.43
1179.800049	1065.959961
5777.450195	5284.439941
11.05	4.05
116.450005	26.73
9081.400391	5092.470215
361.25	167.669998
21.25	13.77
4029.850098	8476.650391
3.4	1.62
1532.550049	2655.179932
144.5	78.57
586.5	473.850006
2407.199951	3427.110107
4303.550293	7341.029785
9614.350586	23507.82031
949.450012	623.700012
242.25	447.119995
3.4	8.1
1136.450073	1256.310059
596.700012	441.450012
56.100002	4.05
10.200001	12.96
281.350006	201.690002
1758.650024	3645.810059
16.15	23.49
6414.100098	8918.099609
0.85	7.29
248.200012	212.220001
304.300018	111.779999
10.200001	17.01
28.900002	17.82
43.350002	27.540001
6397.100098	11133.4502
390.150024	187.110001
477.700012	632.609985
447.950012	244.619995
205.700012	47.790001
4.25	30.780001
261.800018	324
23.800001	8.1
5.1	10.53
22.1	22.68
15.3	4.05
28.900002	14.58
6.8	16.200001
6179.5	5452.919922
169.150009	13.77
453.900024	212.220001
1199.349976	1730.160034
78.200005	19.440001
47.600002	4.86
209.100006	178.199997
25.5	21.870001
26.35	32.400002
35.700001	10.53
6.8	31.59
597.549988	971.190002
7.65	25.110001
5.95	30.780001
28.050001	30.780001
180.200012	54.27
22.950001	51.029999
34.850002	85.050003
46.75	49.41
4084.25	4959.629883
4414.899902	7154.72998
197.200012	188.729996
136.850006	96.389999
90.950005	35.639999
1675.350098	788.130005
27.200001	4.05
1110.950073	287.549988
24.650002	16.200001
1847.050049	2037.150024
20972.05078	23041.25977
28.900002	11.34
2.55	9.72
4403.850098	4360.22998
21.25	11.34
4654.600098	4211.189941
0.85	4.05
124.950005	132.029999
1172.150024	1149.390015
136	15.39
24.650002	27.540001
68.849998	35.639999
34	25.92
26.35	9.72
14.450001	22.68
42.5	27.540001
606.049988	1854.900024
6.8	17.82
1734.850098	3180.870117
1159.400024	1096.73999
